id,role,username,password,balance,namaToko
d6633d25-6f75-4a1a-81d5-c07a21470edb,Pembeli,testpembeli,testpass,150000,
5299d4e4-d904-4086-acf7-b4433a809b6b,Penjual,testpenjual,testpass,0,TestToko
0db407a0-cfd6-4f17-be49-bfdfa9eaaa10,Pembeli,testpembeli,testpass,100000,
fc35a69e-4d21-493a-aac9-b87599ef5680,Penjual,testpenjual,testpass,0,TestToko
ec30d806-db17-454b-b787-0e79158a2e80,Pembeli,testpembeli,testpass,100000,
1882e48c-ef8f-4a54-816c-b2f7abd83863,Penjual,testpenjual,testpass,0,TestToko
193e14f3-5587-4d49-803d-e3fbd6f44181,Pembeli,testpembeli,testpass,100000,
16b9fe0b-b393-46ce-8ff2-f241479e124d,Penjual,testpenjual,testpass,0,TestToko
b4aa0fdc-f250-491d-800d-b6b0b454f537,Pembeli,testpembeli,testpass,100000,
ff8fccf5-88f3-42e5-a292-f3dcda8ee382,Penjual,testpenjual,testpass,0,TestToko
2dfd502f-9650-4119-acd8-00f8ee707557,Pembeli,testpembeli,testpass,100000,
fd5b4694-e513-4f84-a59e-26b82d7a5ad6,Penjual,testpenjual,testpass,0,TestToko
329f6fa2-a28f-4012-8c20-b94f3ed48f23,Pembeli,testpembeli,testpass,100000,
2af6fe1f-c2d4-41e3-b932-1225d3963563,Penjual,testpenjual,testpass,0,TestToko
7e5a74ae-cd3a-4a60-9486-ed78c9448110,Pembeli,testpembeli,testpass,100000,
fb8a316b-3183-41ef-ab01-b8aa8d51c5d4,Penjual,testpenjual,testpass,0,TestToko
80c2b273-316b-43d4-9f31-064e96e55ba0,Pengirim,testpengirim,testpass,100000,
8d5e0b73-d378-4011-8a53-7e6e95dd9c7d,Pengirim,testpengirim,testpass,100000,
5433f6c2-4eb2-496e-94e5-7534cef2ff70,Pengirim,testpengirim,testpass,100000,
7f2d1f23-88f3-488b-ad7f-bb6dc7495026,Pengirim,testpengirim,testpass,100000,
47c402c7-5ab9-4c1b-9558-31d5ee509ce7,Pengirim,testpengirim,testpass,100000,
137db82b-4ad4-4bd2-b0c8-fd0a106982ac,Pengirim,testpengirim,testpass,100000,
